Feature_Tag,Ending,Frequency
1,dik,1
1,dim,1
1,eceğim,1
1,eceğiz,1
1,irim,1
1,iriz,1
1,iyorduk,1
1,iyordum,1
1,iyorum,1
1,iyoruz,1
1,lardık,4
1,lardım*,4
1,larmışım*,4
1,larmışız,4
1,larım*,4
1,larız,4
1,lerdik,1
1,lerdim*,1
1,lerim*,1
1,leriz,1
1,lermişim*,1
1,lermişiz,1
1,medik,1
1,medim,1
1,mem,1
1,meyeceğim,1
1,meyeceğiz,1
1,meyiz,1
1,miyorduk,1
1,miyordum,1
1,miyorum,1
1,miyoruz,1
1,ydik,1
1,ydim,1
1,ydık,4
1,ydım,4
1,yim,1
1,yiz,1
1,ymişim,1
1,ymişiz,1
1,ymışım,4
1,ymışız,4
1,yım,4
1,yız,4
2,din,1
2,diniz,1
2,eceksin,1
2,eceksiniz,1
2,irsin,1
2,irsiniz,1
2,iyordun,1
2,iyordunuz,1
2,iyorsun,1
2,iyorsunuz,1
2,lardın*,4
2,lardınız,4
2,larmışsın*,4
2,larmışsınız,4
2,larsın*,4
2,larsınız,4
2,lerdin*,1
2,lerdiniz,1
2,lermişsin*,1
2,lermişsiniz,1
2,lersin*,1
2,lersiniz,1
2,medin,1
2,mediniz,1
2,meyeceksin,1
2,meyeceksiniz,1
2,mezsin,1
2,mezsiniz,1
2,miyordun,1
2,miyordunuz,1
2,miyorsun,1
2,miyorsunuz,1
2,sin,1
2,siniz,1
2,sın,4
2,sınız,4
2,ydin,1
2,ydiniz,1
2,ydın,4
2,ydınız,4
2,ymişsin,1
2,ymişsiniz,1
2,ymışsın,4
2,ymışsınız,4
3,di,1
3,diler,1
3,ecek,1
3,ecekler,1
3,ir,1
3,irler,1
3,iyor,1
3,iyordu,1
3,iyorlar,1
3,iyorlardı,1
3,lar,4
3,lardı,4
3,lardı*,4
3,lardır,4
3,larmış,4
3,larmış*,4
3,ler,1
3,lerdi,1
3,lerdi*,1
3,lerdir,1
3,lermiş,1
3,lermiş*,1
3,medi,1
3,mediler,1
3,meyecek,1
3,meyecekler,1
3,mez,1
3,mezler,1
3,miyor,1
3,miyordu,1
3,miyordular,1
3,miyorlar,1
3,ydi,1
3,ydiler,1
3,ydı,4
3,ydılar,4
3,ymiş,1
3,ymişler,1
3,ymış,4
3,ymışlar,4
ABL,'dan,2
ABL,'den,2
ABL,dan,4
ABL,den,1
ABL,lardan,4
ABL,larımdan,4
ABL,larımızdan,4
ABL,larından,16
ABL,larınızdan,4
ABL,lerden,1
ABL,lerimden,1
ABL,lerimizden,1
ABL,lerinden,4
ABL,lerinizden,1
ABL,mdan,4
ABL,mden,1
ABL,mizden,1
ABL,mızdan,4
ABL,ndan,4
ABL,nden,1
ABL,nizden,1
ABL,nızdan,4
ABL,sinden,1
ABL,sından,4
ACC,'yi,4
ACC,'ı,3
ACC,denkler,1
ACC,ları,4
ACC,larımı,4
ACC,larımızı,4
ACC,larını,16
ACC,larınızı,4
ACC,leri,1
ACC,lerimi,1
ACC,lerimizi,1
ACC,lerini,4
ACC,lerinizi,1
ACC,mi,1
ACC,mizi,1
ACC,mı,4
ACC,mızı,4
ACC,ni,1
ACC,nizi,1
ACC,nı,4
ACC,nızı,4
ACC,sini,1
ACC,sını,4
ACC,yi,3
ACC,yı,7
ADJ,,1
ADJ,da,1
ADJ,dan,1
ADJ,lar,2
ADJ,lara,1
ADJ,larda,1
ADJ,lardan,1
ADJ,lardı,1
ADJ,lardı*,1
ADJ,lardık,1
ADJ,lardım*,1
ADJ,lardın*,1
ADJ,lardınız,1
ADJ,lardır,1
ADJ,larmış,1
ADJ,larmış*,1
ADJ,larmışsın*,1
ADJ,larmışsınız,1
ADJ,larmışım*,1
ADJ,larmışız,1
ADJ,larsın*,1
ADJ,larsınız,1
ADJ,ları,4
ADJ,larım,1
ADJ,larım*,1
ADJ,larıma,1
ADJ,larımda,1
ADJ,larımdan,1
ADJ,larımı,1
ADJ,larımın,1
ADJ,larımız,1
ADJ,larımıza,1
ADJ,larımızda,1
ADJ,larımızdan,1
ADJ,larımızı,1
ADJ,larımızın,1
ADJ,ların,2
ADJ,larına,4
ADJ,larında,4
ADJ,larından,4
ADJ,larını,4
ADJ,larının,4
ADJ,larınız,1
ADJ,larınıza,1
ADJ,larınızda,1
ADJ,larınızdan,1
ADJ,larınızı,1
ADJ,larınızın,1
ADJ,larız,1
ADJ,m,1
ADJ,ma,1
ADJ,mda,1
ADJ,mdan,1
ADJ,mı,1
ADJ,mın,1
ADJ,mız,1
ADJ,mıza,1
ADJ,mızda,1
ADJ,mızdan,1
ADJ,mızı,1
ADJ,mızın,1
ADJ,n,1
ADJ,na,1
ADJ,nda,1
ADJ,ndan,1
ADJ,nı,1
ADJ,nın,2
ADJ,nız,1
ADJ,nıza,1
ADJ,nızda,1
ADJ,nızdan,1
ADJ,nızı,1
ADJ,nızın,1
ADJ,sı,1
ADJ,sın,1
ADJ,sına,1
ADJ,sında,1
ADJ,sından,1
ADJ,sını,1
ADJ,sının,1
ADJ,sınız,1
ADJ,ya,1
ADJ,ydı,1
ADJ,ydık,1
ADJ,ydılar,1
ADJ,ydım,1
ADJ,ydın,1
ADJ,ydınız,1
ADJ,ymış,1
ADJ,ymışlar,1
ADJ,ymışsın,1
ADJ,ymışsınız,1
ADJ,ymışım,1
ADJ,ymışız,1
ADJ,yı,1
ADJ,yım,1
ADJ,yız,1
DAT,'a,2
DAT,'ye,2
DAT,lara,4
DAT,larıma,4
DAT,larımıza,4
DAT,larına,16
DAT,larınıza,4
DAT,lere,1
DAT,lerime,1
DAT,lerimize,1
DAT,lerine,4
DAT,lerinize,1
DAT,ma,4
DAT,me,1
DAT,mize,1
DAT,mıza,4
DAT,na,4
DAT,ne,1
DAT,nize,1
DAT,nıza,4
DAT,sine,1
DAT,sına,4
DAT,ya,4
DAT,ye,1
DECL,di,1
DECL,dik,1
DECL,diler,1
DECL,dim,1
DECL,din,1
DECL,diniz,1
DECL,ecek,1
DECL,ecekler,1
DECL,eceksin,1
DECL,eceksiniz,1
DECL,eceğim,1
DECL,eceğiz,1
DECL,ir,1
DECL,irim,1
DECL,iriz,1
DECL,irler,1
DECL,irsin,1
DECL,irsiniz,1
DECL,iyor,1
DECL,iyordu,1
DECL,iyorduk,1
DECL,iyordum,1
DECL,iyordun,1
DECL,iyordunuz,1
DECL,iyorlar,1
DECL,iyorlardı,1
DECL,iyorsun,1
DECL,iyorsunuz,1
DECL,iyorum,1
DECL,iyoruz,1
DECL,medi,1
DECL,medik,1
DECL,mediler,1
DECL,medim,1
DECL,medin,1
DECL,mediniz,1
DECL,mem,1
DECL,meyecek,1
DECL,meyecekler,1
DECL,meyeceksin,1
DECL,meyeceksiniz,1
DECL,meyeceğim,1
DECL,meyeceğiz,1
DECL,meyiz,1
DECL,mez,1
DECL,mezler,1
DECL,mezsin,1
DECL,mezsiniz,1
DECL,miyor,1
DECL,miyordu,1
DECL,miyorduk,1
DECL,miyordular,1
DECL,miyordum,1
DECL,miyordun,1
DECL,miyordunuz,1
DECL,miyorlar,1
DECL,miyorsun,1
DECL,miyorsunuz,1
DECL,miyorum,1
DECL,miyoruz,1
ESS,'da,2
ESS,'de,2
ESS,da,4
ESS,de,1
ESS,larda,4
ESS,larımda,4
ESS,larımızda,4
ESS,larında,16
ESS,larınızda,4
ESS,lerde,1
ESS,lerimde,1
ESS,lerimizde,1
ESS,lerinde,4
ESS,lerinizde,1
ESS,mda,4
ESS,mde,1
ESS,mizde,1
ESS,mızda,4
ESS,nda,4
ESS,nde,1
ESS,nizde,1
ESS,nızda,4
ESS,sinde,1
ESS,sında,4
FUT,ecek,1
FUT,ecekler,1
FUT,eceksin,1
FUT,eceksiniz,1
FUT,eceğim,1
FUT,eceğiz,1
FUT,meyecek,1
FUT,meyecekler,1
FUT,meyeceksin,1
FUT,meyeceksiniz,1
FUT,meyeceğim,1
FUT,meyeceğiz,1
GEN,'nin,2
GEN,'ın,2
GEN,larımın,4
GEN,larımızın,4
GEN,ların,4
GEN,larının,16
GEN,larınızın,4
GEN,lerimin,1
GEN,lerimizin,1
GEN,lerin,1
GEN,lerinin,4
GEN,lerinizin,1
GEN,min,1
GEN,mizin,1
GEN,mın,4
GEN,mızın,4
GEN,nin,2
GEN,nizin,1
GEN,nın,8
GEN,nızın,4
GEN,sinin,1
GEN,sının,4
IND,di,1
IND,dik,1
IND,diler,1
IND,dim,1
IND,din,1
IND,diniz,1
IND,ecek,1
IND,ecekler,1
IND,eceksin,1
IND,eceksiniz,1
IND,eceğim,1
IND,eceğiz,1
IND,ir,1
IND,irim,1
IND,iriz,1
IND,irler,1
IND,irsin,1
IND,irsiniz,1
IND,iyor,1
IND,iyordu,1
IND,iyorduk,1
IND,iyordum,1
IND,iyordun,1
IND,iyordunuz,1
IND,iyorlar,1
IND,iyorlardı,1
IND,iyorsun,1
IND,iyorsunuz,1
IND,iyorum,1
IND,iyoruz,1
IND,medi,1
IND,medik,1
IND,mediler,1
IND,medim,1
IND,medin,1
IND,mediniz,1
IND,mem,1
IND,meyecek,1
IND,meyecekler,1
IND,meyeceksin,1
IND,meyeceksiniz,1
IND,meyeceğim,1
IND,meyeceğiz,1
IND,meyiz,1
IND,mez,1
IND,mezler,1
IND,mezsin,1
IND,mezsiniz,1
IND,miyor,1
IND,miyordu,1
IND,miyorduk,1
IND,miyordular,1
IND,miyordum,1
IND,miyordun,1
IND,miyordunuz,1
IND,miyorlar,1
IND,miyorsun,1
IND,miyorsunuz,1
IND,miyorum,1
IND,miyoruz,1
N,,8
N,'a,2
N,'da,2
N,'dan,2
N,'de,2
N,'den,2
N,'ler,2
N,'m,1
N,'miz,1
N,'n,1
N,'nin,2
N,'niz,1
N,'si,1
N,'ye,2
N,'yi,4
N,'ı,4
N,'ım,1
N,'ımız,1
N,'ın,3
N,'ınız,1
N,da,3
N,dan,3
N,de,1
N,den,1
N,denkler,1
N,lar,10
N,lara,3
N,larda,3
N,lardan,3
N,lardı,3
N,lardı*,3
N,lardık,3
N,lardım*,3
N,lardın*,3
N,lardınız,3
N,lardır,3
N,larmış,3
N,larmış*,3
N,larmışsın*,3
N,larmışsınız,3
N,larmışım*,3
N,larmışız,3
N,larsın*,3
N,larsınız,3
N,ları,12
N,larım,3
N,larım*,3
N,larıma,3
N,larımda,3
N,larımdan,3
N,larımı,3
N,larımın,3
N,larımız,3
N,larımıza,3
N,larımızda,3
N,larımızdan,3
N,larımızı,3
N,larımızın,3
N,ların,6
N,larına,12
N,larında,12
N,larından,12
N,larını,12
N,larının,12
N,larınız,3
N,larınıza,3
N,larınızda,3
N,larınızdan,3
N,larınızı,3
N,larınızın,3
N,larız,3
N,ler,4
N,lerde,1
N,lerden,1
N,lerdi,1
N,lerdi*,1
N,lerdik,1
N,lerdim*,1
N,lerdin*,1
N,lerdiniz,1
N,lerdir,1
N,lere,1
N,leri,4
N,lerim,1
N,lerim*,1
N,lerimde,1
N,lerimden,1
N,lerime,1
N,lerimi,1
N,lerimin,1
N,lerimiz,1
N,lerimizde,1
N,lerimizden,1
N,lerimize,1
N,lerimizi,1
N,lerimizin,1
N,lerin,2
N,lerinde,4
N,lerinden,4
N,lerine,4
N,lerini,4
N,lerinin,4
N,leriniz,1
N,lerinizde,1
N,lerinizden,1
N,lerinize,1
N,lerinizi,1
N,lerinizin,1
N,leriz,1
N,lermiş,1
N,lermiş*,1
N,lermişim*,1
N,lermişiz,1
N,lermişsin*,1
N,lermişsiniz,1
N,lersin*,1
N,lersiniz,1
N,m,4
N,ma,3
N,mda,3
N,mdan,3
N,mde,1
N,mden,1
N,me,1
N,mi,1
N,min,1
N,miz,1
N,mizde,1
N,mizden,1
N,mize,1
N,mizi,1
N,mizin,1
N,mı,3
N,mın,3
N,mız,3
N,mıza,3
N,mızda,3
N,mızdan,3
N,mızı,3
N,mızın,3
N,n,4
N,na,3
N,nda,3
N,ndan,3
N,nde,1
N,nden,1
N,ne,1
N,ni,1
N,nin,2
N,niz,1
N,nizde,1
N,nizden,1
N,nize,1
N,nizi,1
N,nizin,1
N,nı,3
N,nın,6
N,nız,3
N,nıza,3
N,nızda,3
N,nızdan,3
N,nızı,3
N,nızın,3
N,si,1
N,sin,1
N,sinde,1
N,sinden,1
N,sine,1
N,sini,1
N,sinin,1
N,siniz,1
N,sı,3
N,sın,3
N,sına,3
N,sında,3
N,sından,3
N,sını,3
N,sının,3
N,sınız,3
N,ya,3
N,ydi,1
N,ydik,1
N,ydiler,1
N,ydim,1
N,ydin,1
N,ydiniz,1
N,ydı,3
N,ydık,3
N,ydılar,3
N,ydım,3
N,ydın,3
N,ydınız,3
N,ye,1
N,yi,3
N,yim,1
N,yiz,1
N,ymiş,1
N,ymişim,1
N,ymişiz,1
N,ymişler,1
N,ymişsin,1
N,ymişsiniz,1
N,ymış,3
N,ymışlar,3
N,ymışsın,3
N,ymışsınız,3
N,ymışım,3
N,ymışız,3
N,yı,6
N,yım,3
N,yız,3
N,{{{2}}},1
NEG,medi,1
NEG,medik,1
NEG,mediler,1
NEG,medim,1
NEG,medin,1
NEG,mediniz,1
NEG,mem,1
NEG,meyecek,1
NEG,meyecekler,1
NEG,meyeceksin,1
NEG,meyeceksiniz,1
NEG,meyeceğim,1
NEG,meyeceğiz,1
NEG,meyiz,1
NEG,mez,1
NEG,mezler,1
NEG,mezsin,1
NEG,mezsiniz,1
NEG,miyor,1
NEG,miyordu,1
NEG,miyorduk,1
NEG,miyordular,1
NEG,miyordum,1
NEG,miyordun,1
NEG,miyordunuz,1
NEG,miyorlar,1
NEG,miyorsun,1
NEG,miyorsunuz,1
NEG,miyorum,1
NEG,miyoruz,1
NFH,larmış,4
NFH,larmış*,4
NFH,larmışsın*,4
NFH,larmışsınız,4
NFH,larmışım*,4
NFH,larmışız,4
NFH,lermiş,1
NFH,lermiş*,1
NFH,lermişim*,1
NFH,lermişiz,1
NFH,lermişsin*,1
NFH,lermişsiniz,1
NFH,ymiş,1
NFH,ymişim,1
NFH,ymişiz,1
NFH,ymişler,1
NFH,ymişsin,1
NFH,ymişsiniz,1
NFH,ymış,4
NFH,ymışlar,4
NFH,ymışsın,4
NFH,ymışsınız,4
NFH,ymışım,4
NFH,ymışız,4
NOM,,9
NOM,lar,4
NOM,ları,12
NOM,larım,4
NOM,larımız,4
NOM,ların,4
NOM,larınız,4
NOM,ler,1
NOM,leri,3
NOM,lerim,1
NOM,lerimiz,1
NOM,lerin,1
NOM,leriniz,1
NOM,m,5
NOM,miz,1
NOM,mız,4
NOM,n,5
NOM,niz,1
NOM,nız,4
NOM,si,1
NOM,sı,4
PFV,di,1
PFV,dik,1
PFV,diler,1
PFV,dim,1
PFV,din,1
PFV,diniz,1
PFV,medi,1
PFV,medik,1
PFV,mediler,1
PFV,medim,1
PFV,medin,1
PFV,mediniz,1
PL,'ler,2
PL,dik,1
PL,diler,1
PL,diniz,1
PL,ecekler,1
PL,eceksiniz,1
PL,eceğiz,1
PL,iriz,1
PL,irler,1
PL,irsiniz,1
PL,iyorduk,1
PL,iyordunuz,1
PL,iyorlar,1
PL,iyorlardı,1
PL,iyorsunuz,1
PL,iyoruz,1
PL,lar,8
PL,lara,4
PL,larda,4
PL,lardan,4
PL,lardı,4
PL,lardık,4
PL,lardınız,4
PL,lardır,4
PL,larmış,4
PL,larmışsınız,4
PL,larmışız,4
PL,larsınız,4
PL,ları,12
PL,larım,4
PL,larıma,4
PL,larımda,4
PL,larımdan,4
PL,larımı,4
PL,larımın,4
PL,larımız,4
PL,larımıza,4
PL,larımızda,4
PL,larımızdan,4
PL,larımızı,4
PL,larımızın,4
PL,ların,8
PL,larına,12
PL,larında,12
PL,larından,12
PL,larını,12
PL,larının,12
PL,larınız,4
PL,larınıza,4
PL,larınızda,4
PL,larınızdan,4
PL,larınızı,4
PL,larınızın,4
PL,larız,4
PL,ler,3
PL,lerde,1
PL,lerden,1
PL,lerdi,1
PL,lerdik,1
PL,lerdiniz,1
PL,lerdir,1
PL,lere,1
PL,leri,3
PL,lerim,1
PL,lerimde,1
PL,lerimden,1
PL,lerime,1
PL,lerimi,1
PL,lerimin,1
PL,lerimiz,1
PL,lerimizde,1
PL,lerimizden,1
PL,lerimize,1
PL,lerimizi,1
PL,lerimizin,1
PL,lerin,2
PL,lerinde,3
PL,lerinden,3
PL,lerine,3
PL,lerini,3
PL,lerinin,3
PL,leriniz,1
PL,lerinizde,1
PL,lerinizden,1
PL,lerinize,1
PL,lerinizi,1
PL,lerinizin,1
PL,leriz,1
PL,lermiş,1
PL,lermişiz,1
PL,lermişsiniz,1
PL,lersiniz,1
PL,medik,1
PL,mediler,1
PL,mediniz,1
PL,meyecekler,1
PL,meyeceksiniz,1
PL,meyeceğiz,1
PL,meyiz,1
PL,mezler,1
PL,mezsiniz,1
PL,miyorduk,1
PL,miyordular,1
PL,miyordunuz,1
PL,miyorlar,1
PL,miyorsunuz,1
PL,miyoruz,1
PL,{{{2}}},1
POS,di,1
POS,dik,1
POS,diler,1
POS,dim,1
POS,din,1
POS,diniz,1
POS,ecek,1
POS,ecekler,1
POS,eceksin,1
POS,eceksiniz,1
POS,eceğim,1
POS,eceğiz,1
POS,ir,1
POS,irim,1
POS,iriz,1
POS,irler,1
POS,irsin,1
POS,irsiniz,1
POS,iyor,1
POS,iyordu,1
POS,iyorduk,1
POS,iyordum,1
POS,iyordun,1
POS,iyordunuz,1
POS,iyorlar,1
POS,iyorlardı,1
POS,iyorsun,1
POS,iyorsunuz,1
POS,iyorum,1
POS,iyoruz,1
PROG,iyor,1
PROG,iyorlar,1
PROG,iyorsun,1
PROG,iyorsunuz,1
PROG,iyorum,1
PROG,iyoruz,1
PROG,miyor,1
PROG,miyorlar,1
PROG,miyorsun,1
PROG,miyorsunuz,1
PROG,miyorum,1
PROG,miyoruz,1
PRS,ir,1
PRS,irim,1
PRS,iriz,1
PRS,irler,1
PRS,irsin,1
PRS,irsiniz,1
PRS,iyor,1
PRS,iyorlar,1
PRS,iyorsun,1
PRS,iyorsunuz,1
PRS,iyorum,1
PRS,iyoruz,1
PRS,lar,4
PRS,lardır,4
PRS,larsın*,4
PRS,larsınız,4
